time,number_of_trades,trade_volume_usd,percent_trades,percent_volume
2022-01-03 0:00,33874,4834894423,0.963533963,0.96
2022-01-10 0:00,26747,4589308347,0.970007979,0.97
2022-01-17 0:00,43099,7050641348,0.967212747,0.97
2022-01-24 0:00,41089,6824332359,0.968303719,0.98
2022-01-31 0:00,30460,4624907502,0.973069674,0.98
2022-02-07 0:00,32057,4907049985,0.963453851,0.96
2022-02-14 0:00,32413,4621425324,0.968072397,0.97
2022-02-21 0:00,45474,7390927945,0.9600152,0.98
2022-02-28 0:00,40692,5446550097,0.964059798,0.97
2022-03-07 0:00,41329,3952999053,0.964301547,0.96
2022-03-14 0:00,41068,3942804397,0.967238983,0.98
2022-03-21 0:00,36963,4014786385,0.96390852,0.97
2022-03-28 0:00,39765,4819761560,0.96883832,0.98
2022-04-04 0:00,32704,5118471688,0.960639173,0.98
2022-04-11 0:00,34791,4467868819,0.958086636,0.94
2022-04-18 0:00,33206,2773787950,0.956724674,0.91
2022-04-25 0:00,40661,4146421791,0.959279968,0.93
2022-05-02 0:00,38051,5244215443,0.959478542,0.92
2022-05-09 0:00,70991,8112374304,0.950704414,0.94
2022-05-16 0:00,43475,3980044560,0.948945737,0.92
2022-05-23 0:00,43668,4506125713,0.943438621,0.94
2022-05-30 0:00,36778,3381107599,0.953143627,0.92
2022-06-06 0:00,44329,4075809983,0.934442126,0.93
2022-06-13 0:00,84248,6075587561,0.927392013,0.91
2022-06-20 0:00,48374,2612488745,0.947933609,0.97
2022-06-27 0:00,46961,2801719124,0.951301529,0.97
2022-07-04 0:00,48440,3203529473,0.953937651,0.97
2022-07-11 0:00,52728,3676663935,0.946812713,0.97
2022-07-18 0:00,70121,4933495112,0.943133062,0.98
2022-07-25 0:00,68963,4511394255,0.939921767,0.97
2022-08-01 0:00,55235,3612110475,0.936599179,0.97
2022-08-08 0:00,62058,4062705103,0.956519059,0.98
2022-08-15 0:00,66852,4239710291,0.953788646,0.98
2022-08-22 0:00,64235,3865775169,0.952419785,0.97
2022-08-29 0:00,62351,3397970161,0.965918421,0.98
2022-09-05 0:00,59207,3150844990,0.958243643,0.98
2022-09-12 0:00,70780,3144655351,0.953381555,0.97
2022-09-19 0:00,74020,2406805310,0.942449707,0.97
2022-09-26 0:00,64443,2369528802,0.9404305,0.97
2022-10-03 0:00,49920,1730779124,0.942295713,0.97
2022-10-10 0:00,48338,1721705556,0.93665588,0.97
2022-10-17 0:00,46814,2034182798,0.947882077,0.99
2022-10-24 0:00,63568,4410326402,0.929085063,0.98
2022-10-31 0:00,60523,3642463936,0.932672749,0.97
2022-11-07 0:00,97924,8213092758,0.919629609,0.96
2022-11-14 0:00,60910,2717519639,0.925993493,0.97
2022-11-21 0:00,54836,2484415759,0.907219906,0.95
2022-11-28 0:00,50331,1985793940,0.923775787,0.97
2022-12-05 0:00,39315,1544538885,0.933670561,0.97
2022-12-12 0:00,49270,2324465057,0.933833703,0.96
2022-12-19 0:00,36083,1097141454,0.937050406,0.96
2022-12-26 0:00,36953,912224004.2,0.947245649,0.96
2023-01-02 0:00,37430,1100751240,0.942251536,0.96
2023-01-09 0:00,58895,3266058065,0.939943822,0.96
2023-01-16 0:00,54809,3143712850,0.938445997,0.95
2023-01-23 0:00,48539,2689876701,0.939549379,0.94
2023-01-30 0:00,57769,2796734698,0.951509561,0.95
2023-02-06 0:00,57063,2916883594,0.95092321,0.95
2023-02-13 0:00,64076,3242619782,0.954150845,0.95
2023-02-20 0:00,47127,2646052778,0.963407404,0.96
2023-02-27 0:00,42103,1958908736,0.95989695,0.96
2023-03-06 0:00,64648,5965860654,0.913998105,0.92
2023-03-13 0:00,57025,5766456522,0.918217828,0.96
2023-03-20 0:00,43916,3281872837,0.912673012,0.96
2023-03-27 0:00,34014,1978541884,0.926635247,0.96
2023-04-03 0:00,35644,1901121709,0.92504931,0.94
2023-04-10 0:00,37499,2161670928,0.9092871,0.91
2023-04-17 0:00,36524,2165635525,0.932591155,0.93
2023-04-24 0:00,31087,1922853157,0.924905537,0.94
2023-05-01 0:00,34044,1776741315,0.947614541,0.94
2023-05-08 0:00,33739,1641050731,0.936570064,0.92
2023-05-15 0:00,25073,947016194,0.918929815,0.87
2023-05-22 0:00,27665,941760165,0.915150513,0.91
2023-05-29 0:00,23290,1085433589,0.902293507,0.87
2023-06-05 0:00,28582,1776348281,0.889795156,0.92
2023-06-12 0:00,25776,1128912147,0.87237283,0.89
2023-06-19 0:00,27709,1712844268,0.859993793,0.87
2023-06-26 0:00,25146,1700216376,0.844817739,0.85
2023-07-03 0:00,21043,1280771002,0.872429519,0.84
2023-07-10 0:00,24157,1382353515,0.871558971,0.87
2023-07-17 0:00,23545,954841152.3,0.882926463,0.86
2023-07-24 0:00,19246,706196377.5,0.877730652,0.84
2023-07-31 0:00,22878,668946812.9,0.865574515,0.81
2023-08-07 0:00,22332,578558462.8,0.878382631,0.81
2023-08-14 0:00,28520,1217068117,0.873881603,0.84
2023-08-21 0:00,28886,1240989825,0.896969321,0.88
2023-08-28 0:00,23310,1415358980,0.870685791,0.89
2023-09-04 0:00,19092,885819111.6,0.855568004,0.86
2023-09-11 0:00,21434,1113420432,0.830421138,0.83
2023-09-18 0:00,20496,865096843.3,0.832324873,0.82
2023-09-25 0:00,20778,988512692.1,0.813483674,0.86
2023-10-02 0:00,22600,999925129.8,0.811024187,0.86
2023-10-09 0:00,25733,857908202.1,0.830043223,0.89
2023-10-16 0:00,27361,1253722464,0.824499021,0.88
2023-10-23 0:00,31141,1812260902,0.832090848,0.87
2023-10-30 0:00,26717,1381573638,0.823455078,0.87
2023-11-06 0:00,29219,2089662105,0.839481699,0.89
2023-11-13 0:00,28147,2262468000,0.846882898,0.9
2023-11-20 0:00,26989,1681310916,0.841460373,0.89
2023-11-27 0:00,4809,248726387.9,0.841175442,0.84
